feature,importance
respiratory_rate_mean,13
spo2_median,8
respiratory_rate_missing_pct,8
heart_rate_missing_pct,6
temperature_mean,5
heart_rate_min,5
systolic_bp_missing_pct,4
spo2_mean,3
supplemental_o2_mean,3
respiratory_rate_median,2
level_of_consciousness_missing_pct,2
temperature_median,1
spo2_missing_pct,1
spo2_min,1
level_of_consciousness_mean,1
level_of_consciousness_median,0
supplemental_o2_missing_pct,0
co2_retainer_max,0
co2_retainer_min,0
co2_retainer_mean,0
co2_retainer_median,0
level_of_consciousness_max,0
temperature_missing_pct,0
level_of_consciousness_min,0
heart_rate_median,0
heart_rate_max,0
heart_rate_mean,0
systolic_bp_max,0
systolic_bp_min,0
systolic_bp_mean,0
systolic_bp_median,0
temperature_max,0
temperature_min,0
supplemental_o2_max,0
supplemental_o2_min,0
supplemental_o2_median,0
spo2_max,0
respiratory_rate_max,0
respiratory_rate_min,0
co2_retainer_missing_pct,0
