feature,importance
respiratory_rate_mean,166.6
heart_rate_min,100.0
respiratory_rate_median,96.2
respiratory_rate_missing_pct,51.6
heart_rate_mean,51.4
temperature_missing_pct,51.0
heart_rate_missing_pct,45.2
heart_rate_median,43.6
heart_rate_max,39.8
systolic_bp_missing_pct,38.0
temperature_mean,37.2
spo2_mean,36.8
spo2_median,32.6
temperature_max,32.4
level_of_consciousness_missing_pct,30.8
respiratory_rate_max,29.0
supplemental_o2_mean,25.0
temperature_min,24.0
respiratory_rate_min,21.8
spo2_min,21.8
systolic_bp_max,21.6
level_of_consciousness_mean,20.4
systolic_bp_min,20.0
temperature_median,18.0
systolic_bp_median,9.4
spo2_missing_pct,8.4
supplemental_o2_max,5.4
systolic_bp_mean,5.0
level_of_consciousness_median,4.6
spo2_max,0.6
supplemental_o2_missing_pct,0.0
supplemental_o2_median,0.0
co2_retainer_max,0.0
co2_retainer_min,0.0
co2_retainer_mean,0.0
co2_retainer_median,0.0
level_of_consciousness_max,0.0
level_of_consciousness_min,0.0
supplemental_o2_min,0.0
co2_retainer_missing_pct,0.0
