feature,importance
spo2_mean,60.6
level_of_consciousness_missing_pct,59.2
respiratory_rate_mean,59.0
respiratory_rate_min,48.8
respiratory_rate_max,47.2
temperature_missing_pct,43.0
temperature_max,41.4
temperature_min,38.6
heart_rate_min,38.2
spo2_median,38.0
temperature_median,38.0
temperature_mean,34.2
supplemental_o2_mean,34.0
heart_rate_max,33.2
spo2_min,32.4
heart_rate_median,30.2
heart_rate_mean,30.2
level_of_consciousness_mean,29.2
systolic_bp_max,28.4
respiratory_rate_missing_pct,28.0
spo2_missing_pct,26.2
respiratory_rate_median,26.0
systolic_bp_missing_pct,24.8
heart_rate_missing_pct,19.2
systolic_bp_min,17.8
systolic_bp_mean,12.6
systolic_bp_median,10.2
spo2_max,9.6
supplemental_o2_max,5.2
level_of_consciousness_min,3.8
level_of_consciousness_median,3.6
supplemental_o2_missing_pct,0.0
supplemental_o2_median,0.0
co2_retainer_max,0.0
supplemental_o2_min,0.0
co2_retainer_min,0.0
co2_retainer_mean,0.0
co2_retainer_median,0.0
level_of_consciousness_max,0.0
co2_retainer_missing_pct,0.0
