learning_rate,max_depth,n_estimators,min_data_in_leaf,mean_score
0.01,3,50,5,0.7542483660130719
0.01,3,50,10,0.6808823529411765
0.01,3,50,20,0.7428104575163399
0.01,3,100,5,0.7816993464052288
0.01,3,100,10,0.7668300653594772
0.01,3,100,20,0.7911764705882353
0.01,3,200,5,0.7758169934640523
0.01,3,200,10,0.7957516339869282
0.01,3,200,20,0.8063725490196079
0.01,5,50,5,0.7875816993464052
0.01,5,50,10,0.6702614379084967
0.01,5,50,20,0.7428104575163399
0.01,5,100,5,0.7797385620915033
0.01,5,100,10,0.738888888888889
0.01,5,100,20,0.7911764705882353
0.01,5,200,5,0.765686274509804
0.01,5,200,10,0.7957516339869282
0.01,5,200,20,0.8063725490196079
0.01,7,50,5,0.7875816993464052
0.01,7,50,10,0.6702614379084967
0.01,7,50,20,0.7428104575163399
0.01,7,100,5,0.7738562091503268
0.01,7,100,10,0.738888888888889
0.01,7,100,20,0.7911764705882353
0.01,7,200,5,0.761764705882353
0.01,7,200,10,0.8013071895424837
0.01,7,200,20,0.8063725490196079
0.05,3,50,5,0.782516339869281
0.05,3,50,10,0.8001633986928105
0.05,3,50,20,0.8192810457516341
0.05,3,100,5,0.794281045751634
0.05,3,100,10,0.7962418300653595
0.05,3,100,20,0.8192810457516341
0.05,3,200,5,0.794281045751634
0.05,3,200,10,0.7962418300653595
0.05,3,200,20,0.8192810457516341
0.05,5,50,5,0.7640522875816994
0.05,5,50,10,0.7973856209150327
0.05,5,50,20,0.8114379084967321
0.05,5,100,5,0.7640522875816994
0.05,5,100,10,0.8013071895424837
0.05,5,100,20,0.8114379084967321
0.05,5,200,5,0.7640522875816994
0.05,5,200,10,0.8013071895424837
0.05,5,200,20,0.8114379084967321
0.05,7,50,5,0.7679738562091504
0.05,7,50,10,0.7973856209150327
0.05,7,50,20,0.8114379084967321
0.05,7,100,5,0.7758169934640523
0.05,7,100,10,0.7973856209150327
0.05,7,100,20,0.8114379084967321
0.05,7,200,5,0.7758169934640523
0.05,7,200,10,0.7973856209150327
0.05,7,200,20,0.8114379084967321
0.1,3,50,5,0.8138888888888889
0.1,3,50,10,0.7973856209150327
0.1,3,50,20,0.8119281045751634
0.1,3,100,5,0.8138888888888889
0.1,3,100,10,0.7973856209150327
0.1,3,100,20,0.8158496732026144
0.1,3,200,5,0.8138888888888889
0.1,3,200,10,0.7973856209150327
0.1,3,200,20,0.8158496732026144
0.1,5,50,5,0.7310457516339871
0.1,5,50,10,0.811437908496732
0.1,5,50,20,0.8315359477124182
0.1,5,100,5,0.7310457516339871
0.1,5,100,10,0.811437908496732
0.1,5,100,20,0.8315359477124182
0.1,5,200,5,0.7310457516339871
0.1,5,200,10,0.811437908496732
0.1,5,200,20,0.8315359477124182
0.1,7,50,5,0.765686274509804
0.1,7,50,10,0.811437908496732
0.1,7,50,20,0.8315359477124182
0.1,7,100,5,0.765686274509804
0.1,7,100,10,0.811437908496732
0.1,7,100,20,0.8315359477124182
0.1,7,200,5,0.765686274509804
0.1,7,200,10,0.811437908496732
0.1,7,200,20,0.8315359477124182
