learning_rate,max_depth,n_estimators,min_data_in_leaf,mean_score
0.01,3,50,5,0.8347916666666666
0.01,3,50,10,0.8440833333333334
0.01,3,50,20,0.8107916666666668
0.01,3,100,5,0.8410416666666667
0.01,3,100,10,0.8753333333333334
0.01,3,100,20,0.8575833333333334
0.01,3,200,5,0.8927083333333332
0.01,3,200,10,0.8848958333333334
0.01,3,200,20,0.86025
0.01,5,50,5,0.8583749999999999
0.01,5,50,10,0.8414166666666667
0.01,5,50,20,0.8107916666666668
0.01,5,100,5,0.8708333333333333
0.01,5,100,10,0.8802083333333334
0.01,5,100,20,0.8575833333333334
0.01,5,200,5,0.89125
0.01,5,200,10,0.8811250000000002
0.01,5,200,20,0.86025
0.01,7,50,5,0.8583749999999999
0.01,7,50,10,0.8414166666666667
0.01,7,50,20,0.8107916666666668
0.01,7,100,5,0.8677083333333334
0.01,7,100,10,0.8828750000000001
0.01,7,100,20,0.8575833333333334
0.01,7,200,5,0.8827916666666666
0.01,7,200,10,0.8811250000000002
0.01,7,200,20,0.86025
0.05,3,50,5,0.9018125000000001
0.05,3,50,10,0.8964791666666667
0.05,3,50,20,0.8520208333333334
0.05,3,100,5,0.9178125000000001
0.05,3,100,10,0.9178124999999999
0.05,3,100,20,0.8882916666666667
0.05,3,200,5,0.9178125000000001
0.05,3,200,10,0.9178124999999999
0.05,3,200,20,0.9016249999999999
0.05,5,50,5,0.9259999999999999
0.05,5,50,10,0.8944583333333334
0.05,5,50,20,0.8520208333333334
0.05,5,100,5,0.9313333333333332
0.05,5,100,10,0.9077916666666667
0.05,5,100,20,0.8882916666666667
0.05,5,200,5,0.9313333333333332
0.05,5,200,10,0.9051250000000002
0.05,5,200,20,0.9016249999999999
0.05,7,50,5,0.9073333333333334
0.05,7,50,10,0.8917916666666666
0.05,7,50,20,0.8520208333333334
0.05,7,100,5,0.9073333333333334
0.05,7,100,10,0.8944583333333334
0.05,7,100,20,0.8882916666666667
0.05,7,200,5,0.9073333333333334
0.05,7,200,10,0.8944583333333334
0.05,7,200,20,0.9016249999999999
0.1,3,50,5,0.9164375
0.1,3,50,10,0.9019999999999999
0.1,3,50,20,0.8917916666666666
0.1,3,100,5,0.9164375
0.1,3,100,10,0.9019999999999999
0.1,3,100,20,0.8997916666666667
0.1,3,200,5,0.9164375
0.1,3,200,10,0.9019999999999999
0.1,3,200,20,0.8997916666666667
0.1,5,50,5,0.9003541666666667
0.1,5,50,10,0.9082500000000001
0.1,5,50,20,0.8891249999999999
0.1,5,100,5,0.9003541666666667
0.1,5,100,10,0.9082500000000001
0.1,5,100,20,0.897125
0.1,5,200,5,0.9003541666666667
0.1,5,200,10,0.9082500000000001
0.1,5,200,20,0.897125
0.1,7,50,5,0.8721250000000002
0.1,7,50,10,0.9082500000000001
0.1,7,50,20,0.8891249999999999
0.1,7,100,5,0.8721250000000002
0.1,7,100,10,0.9082500000000001
0.1,7,100,20,0.897125
0.1,7,200,5,0.8721250000000002
0.1,7,200,10,0.9082500000000001
0.1,7,200,20,0.897125
