feature,mean_abs_shap
spo2_min,1.0820822812533386
supplemental_o2_mean,0.6972500746186503
respiratory_rate_max,0.5326902028848051
temperature_missing_pct,0.4057877836990646
heart_rate_mean,0.2660671528607148
temperature_median,0.18657988224080857
temperature_max,0.17944327186158773
heart_rate_missing_pct,0.15398429753840379
heart_rate_max,0.15321553691660825
heart_rate_min,0.1365011714549421
respiratory_rate_missing_pct,0.1284614862739876
level_of_consciousness_missing_pct,0.08855839096781898
respiratory_rate_mean,0.08776260219602984
temperature_min,0.08667580485814916
heart_rate_median,0.07492504893509234
spo2_missing_pct,0.07055592403593251
level_of_consciousness_mean,0.05232687928982375
temperature_mean,0.03547653505762697
respiratory_rate_median,8.28231038741604e-17
systolic_bp_max,0.0
co2_retainer_min,0.0
respiratory_rate_min,0.0
spo2_median,0.0
systolic_bp_missing_pct,0.0
spo2_mean,0.0
supplemental_o2_missing_pct,0.0
spo2_max,0.0
supplemental_o2_median,0.0
co2_retainer_max,0.0
co2_retainer_mean,0.0
systolic_bp_min,0.0
co2_retainer_median,0.0
level_of_consciousness_max,0.0
level_of_consciousness_min,0.0
supplemental_o2_min,0.0
level_of_consciousness_median,0.0
supplemental_o2_max,0.0
systolic_bp_median,0.0
systolic_bp_mean,0.0
co2_retainer_missing_pct,0.0
