feature,mean_abs_shap
respiratory_rate_mean,1.3007824476032959
spo2_mean,0.9006994479789359
heart_rate_max,0.6358183564940837
systolic_bp_missing_pct,0.6348367084738413
level_of_consciousness_missing_pct,0.5364280493627333
respiratory_rate_missing_pct,0.4976636482266571
spo2_median,0.4193744064258146
temperature_mean,0.36081229026117895
temperature_median,0.18471006476358606
heart_rate_min,0.15461714061274498
respiratory_rate_max,0.14074491585888246
respiratory_rate_median,0.12791915135754406
supplemental_o2_mean,0.10662966742844032
temperature_missing_pct,0.0846465653941896
heart_rate_mean,0.029504391963399507
temperature_max,0.02520049876153264
systolic_bp_min,0.023415202085511795
respiratory_rate_min,0.01896052107792186
temperature_min,0.017525520130063577
heart_rate_median,0.017219977443927923
systolic_bp_max,0.012220137079857491
level_of_consciousness_mean,0.007388940508747734
level_of_consciousness_median,0.00078319295396944
spo2_min,0.0003463234944191586
systolic_bp_median,0.00023921795474528214
spo2_missing_pct,0.0001685864918618243
supplemental_o2_min,0.0
heart_rate_missing_pct,0.0
spo2_max,0.0
supplemental_o2_median,0.0
supplemental_o2_missing_pct,0.0
co2_retainer_min,0.0
co2_retainer_max,0.0
systolic_bp_mean,0.0
co2_retainer_mean,0.0
co2_retainer_median,0.0
level_of_consciousness_max,0.0
level_of_consciousness_min,0.0
supplemental_o2_max,0.0
co2_retainer_missing_pct,0.0
