feature,mean_abs_saliency,std_abs_saliency
heart_rate_roll24h_min,7.688823e-05,0.00018662142
news2_score,5.0083305e-05,0.000115319264
temperature_max,4.7652567e-05,9.3640374e-05
level_of_consciousness_carried,4.6114103e-05,9.172869e-05
respiratory_rate_roll4h_min,4.3749627e-05,0.000111094334
supplemental_o2_max,4.2615564e-05,8.546277e-05
systolic_bp_roll1h_max,4.2322048e-05,0.0001106953
respiratory_rate,4.2302912e-05,0.00010912396
respiratory_rate_max,4.1609714e-05,9.7530195e-05
spo2_missing_pct,3.834362e-05,8.1178194e-05
heart_rate_roll4h_max,3.8315357e-05,9.598067e-05
consciousness_label,3.5428344e-05,8.82022e-05
systolic_bp_roll1h_min,3.432551e-05,7.894566e-05
risk_numeric,3.3700493e-05,8.233365e-05
heart_rate_missing_pct,3.3099634e-05,7.439757e-05
temperature_roll24h_std,3.147281e-05,7.9475525e-05
systolic_bp_roll24h_min,3.1076605e-05,6.855956e-05
systolic_bp_roll1h_mean,3.084754e-05,7.985613e-05
level_of_consciousness_max,3.0184012e-05,6.9646856e-05
respiratory_rate_min,3.0026195e-05,0.0001130481
systolic_bp,2.9611825e-05,7.991436e-05
temperature_roll4h_std,2.8806879e-05,7.849225e-05
Non Invasive Blood Pressure systolic,2.8803199e-05,7.37106e-05
temperature_roll24h_max,2.8346023e-05,7.4768905e-05
spo2_roll4h_max,2.761566e-05,7.595454e-05
heart_rate,2.696751e-05,7.4291755e-05
respiratory_rate_roll24h_auc,2.6753027e-05,8.2550956e-05
heart_rate_roll24h_mean,2.6325393e-05,8.798484e-05
heart_rate_roll24h_max,2.6200769e-05,8.2713144e-05
respiratory_rate_mean,2.6164607e-05,9.383664e-05
respiratory_rate_roll1h_std,2.6087615e-05,7.871425e-05
spo2_roll24h_mean,2.6043896e-05,7.436867e-05
respiratory_rate_median,2.6015376e-05,7.328843e-05
respiratory_rate_roll4h_std,2.5720286e-05,7.034219e-05
systolic_bp_roll4h_auc,2.5313027e-05,5.9687904e-05
heart_rate_roll1h_mean,2.5092126e-05,6.946535e-05
spo2_roll24h_max,2.4761372e-05,8.7853885e-05
respiratory_rate_roll4h_mean,2.4566605e-05,7.6779805e-05
systolic_bp_min,2.4477325e-05,6.6451066e-05
temperature_missing_pct,2.441507e-05,8.0092745e-05
systolic_bp_missing_pct,2.4158482e-05,5.447442e-05
respiratory_rate_roll4h_auc,2.415353e-05,0.00010477838
temperature,2.4056217e-05,5.8040925e-05
heart_rate_roll4h_min,2.4037485e-05,6.763346e-05
respiratory_rate_roll1h_min,2.3821143e-05,7.191783e-05
heart_rate_roll4h_mean,2.2828654e-05,6.447059e-05
GCS - Verbal Response,2.2575074e-05,8.326947e-05
respiratory_rate_missing_pct,2.2156722e-05,5.3055344e-05
heart_rate_median,2.2122853e-05,5.5372122e-05
heart_rate_roll1h_max,2.1996913e-05,6.3794505e-05
heart_rate_mean,2.1766866e-05,5.394347e-05
systolic_bp_roll24h_mean,2.1385293e-05,5.1804578e-05
systolic_bp_mean,2.1301861e-05,5.2380536e-05
systolic_bp_median,2.0942167e-05,4.503785e-05
heart_rate_roll4h_std,2.092513e-05,6.68922e-05
systolic_bp_roll24h_auc,2.0910902e-05,4.8098053e-05
temperature_roll24h_auc,2.0853979e-05,5.383172e-05
systolic_bp_roll4h_max,2.0824062e-05,5.023179e-05
systolic_bp_roll24h_max,2.0608672e-05,4.910037e-05
level_of_consciousness_time_since_last_obs,2.044298e-05,5.5767152e-05
spo2_median,2.0277164e-05,6.524988e-05
heart_rate_roll1h_min,1.9997535e-05,5.173151e-05
heart_rate_roll24h_std,1.9891515e-05,7.25072e-05
temperature_median,1.9793375e-05,4.336595e-05
level_of_consciousness,1.9661093e-05,4.757231e-05
temperature_roll4h_slope,1.9417814e-05,6.457007e-05
supplemental_o2_time_since_last_obs,1.9364592e-05,4.3725322e-05
supplemental_o2,1.9350664e-05,9.716772e-05
systolic_bp_roll4h_mean,1.9113459e-05,4.7365855e-05
spo2_roll4h_mean,1.8721896e-05,7.0800925e-05
systolic_bp_roll4h_min,1.8688828e-05,4.717253e-05
heart_rate_max,1.8679768e-05,6.215542e-05
temperature_roll4h_auc,1.7494967e-05,6.4401764e-05
respiratory_rate_roll24h_max,1.7418044e-05,4.7348345e-05
level_of_consciousness_median,1.7188604e-05,4.881323e-05
heart_rate_roll4h_auc,1.7078328e-05,6.743264e-05
supplemental_o2_mean,1.7064398e-05,4.529402e-05
heart_rate_roll1h_auc,1.6935446e-05,3.8786486e-05
gcs_total,1.684865e-05,5.24761e-05
systolic_bp_roll4h_std,1.6764174e-05,4.120289e-05
temperature_roll1h_auc,1.6693386e-05,4.359547e-05
respiratory_rate_roll1h_auc,1.6523836e-05,4.3575423e-05
co2_retainer_time_since_last_obs,1.6519218e-05,4.0459618e-05
temperature_carried,1.6244703e-05,4.2259395e-05
respiratory_rate_roll24h_min,1.612086e-05,4.808901e-05
level_of_consciousness_mean,1.572284e-05,3.4236466e-05
spo2_roll1h_auc,1.5718075e-05,4.0626448e-05
spo2_roll4h_min,1.5533473e-05,4.893721e-05
temperature_roll1h_mean,1.5364098e-05,4.365369e-05
respiratory_rate_time_since_last_obs,1.5069767e-05,3.685568e-05
spo2_roll24h_auc,1.4963046e-05,5.0070765e-05
level_of_consciousness_missing,1.4784846e-05,3.8221777e-05
systolic_bp_missing,1.4759665e-05,4.5011708e-05
spo2_roll24h_min,1.4591095e-05,3.5780402e-05
temperature_missing,1.4526254e-05,3.9190836e-05
spo2_roll1h_max,1.4227554e-05,4.450153e-05
systolic_bp_roll1h_auc,1.4063602e-05,3.5674468e-05
temperature_roll4h_max,1.3766424e-05,4.01002e-05
spo2_roll1h_mean,1.3742924e-05,4.9877286e-05
heart_rate_roll24h_auc,1.3517407e-05,4.5996287e-05
spo2_time_since_last_obs,1.3425297e-05,3.083491e-05
respiratory_rate_roll1h_max,1.331389e-05,4.2962296e-05
GCS - Motor Response,1.3191979e-05,4.6910645e-05
heart_rate_time_since_last_obs,1.3088906e-05,2.94094e-05
respiratory_rate_roll24h_std,1.3024858e-05,4.2188345e-05
systolic_bp_max,1.2890672e-05,3.900613e-05
spo2_roll24h_std,1.2872755e-05,4.656697e-05
spo2_roll1h_min,1.2744696e-05,4.1306324e-05
GCS - Eye Opening,1.2521567e-05,4.289206e-05
temperature_time_since_last_obs,1.2274896e-05,3.0463332e-05
systolic_bp_time_since_last_obs,1.2193846e-05,2.949787e-05
spo2_roll4h_auc,1.2124389e-05,4.8611175e-05
temperature_roll1h_max,1.2095797e-05,3.630284e-05
spo2_min,1.1754645e-05,2.5835343e-05
spo2_roll4h_std,1.1744689e-05,3.4289125e-05
respiratory_rate_roll1h_mean,1.1635383e-05,3.5976107e-05
temperature_min,1.148012e-05,2.8689283e-05
heart_rate_roll1h_std,1.1262293e-05,4.8867238e-05
temperature_roll1h_min,1.1244626e-05,3.196739e-05
spo2,1.11975205e-05,3.600917e-05
spo2_mean,1.1092582e-05,3.6240705e-05
respiratory_rate_roll4h_max,1.1058181e-05,2.8766512e-05
temperature_mean,1.0568585e-05,2.2428487e-05
heart_rate_min,1.0426704e-05,2.8330705e-05
spo2_roll1h_std,1.0116098e-05,4.438776e-05
temperature_roll4h_min,9.873567e-06,2.7185582e-05
temperature_roll24h_slope,9.81927e-06,3.066664e-05
respiratory_rate_carried,9.76561e-06,3.7516977e-05
systolic_bp_roll24h_std,9.623161e-06,2.3975264e-05
temperature_roll4h_mean,9.330249e-06,2.7090296e-05
temperature_roll1h_std,8.932345e-06,5.3970616e-05
temperature_roll24h_mean,8.785986e-06,2.4395476e-05
respiratory_rate_roll24h_mean,8.3770765e-06,3.1223262e-05
level_of_consciousness_missing_pct,8.105682e-06,2.4582985e-05
heart_rate_missing,7.562913e-06,3.4206812e-05
temperature_roll24h_min,7.555328e-06,2.9614881e-05
spo2_carried,7.472053e-06,3.2154894e-05
respiratory_rate_missing,7.4620934e-06,3.109149e-05
systolic_bp_roll1h_std,6.477943e-06,1.928643e-05
heart_rate_carried,6.4736228e-06,3.1518197e-05
spo2_missing,6.313113e-06,2.703387e-05
heart_rate_roll4h_slope,5.775968e-06,1.8197803e-05
level_of_consciousness_min,5.177345e-06,2.3572e-05
spo2_roll1h_slope,5.096324e-06,4.1427036e-05
ART BP Systolic,4.74184e-06,2.8685046e-05
spo2_max,4.1625635e-06,8.877797e-06
heart_rate_roll24h_slope,3.9508054e-06,2.4418961e-05
spo2_roll24h_slope,3.948123e-06,6.233226e-05
respiratory_rate_roll4h_slope,3.903364e-06,1.3469224e-05
heart_rate_roll1h_slope,3.732857e-06,5.5155695e-05
systolic_bp_roll24h_slope,3.7167952e-06,3.9417173e-05
systolic_bp_roll4h_slope,3.6588858e-06,1.9467976e-05
spo2_roll4h_slope,3.383152e-06,2.7443304e-05
systolic_bp_roll1h_slope,2.2601814e-06,2.9125446e-05
systolic_bp_carried,2.1860394e-06,1.374399e-05
respiratory_rate_roll1h_slope,2.184252e-06,3.201996e-05
temperature_roll1h_slope,1.2469374e-06,9.84412e-06
respiratory_rate_roll24h_slope,1.2280875e-06,6.144726e-06
co2_retainer,0.0,0.0
supplemental_o2_missing,0.0,0.0
co2_retainer_missing,0.0,0.0
supplemental_o2_carried,0.0,0.0
supplemental_o2_missing_pct,0.0,0.0
supplemental_o2_min,0.0,0.0
co2_retainer_carried,0.0,0.0
co2_retainer_max,0.0,0.0
co2_retainer_min,0.0,0.0
co2_retainer_mean,0.0,0.0
co2_retainer_median,0.0,0.0
supplemental_o2_median,0.0,0.0
co2_retainer_missing_pct,0.0,0.0
