timestep,mean_abs_saliency
0,3.7692378e-05
1,2.439404e-05
2,1.8593179e-05
3,1.9270843e-05
4,1.711539e-05
5,1.598321e-05
6,1.3620074e-05
7,1.4369591e-05
8,1.24292255e-05
9,1.2274206e-05
10,1.191115e-05
11,1.316102e-05
12,1.4006298e-05
13,1.4886195e-05
14,1.570807e-05
15,1.600925e-05
16,1.6777312e-05
17,1.6301175e-05
18,1.62494e-05
19,1.7280234e-05
20,1.5436935e-05
21,1.5317339e-05
22,1.4609589e-05
23,1.5979165e-05
24,1.5643156e-05
25,1.5441225e-05
26,1.5528027e-05
27,1.5627766e-05
28,1.6807448e-05
29,1.6253225e-05
30,1.5967547e-05
31,1.53761e-05
32,1.5634996e-05
33,1.50162605e-05
34,1.5910344e-05
35,1.4946154e-05
36,1.560209e-05
37,1.6176238e-05
38,1.6473115e-05
39,1.620896e-05
40,1.6484386e-05
41,1.6727747e-05
42,1.6238333e-05
43,1.714686e-05
44,1.6336997e-05
45,1.5564097e-05
46,1.5469288e-05
47,1.6321968e-05
48,1.594234e-05
49,1.7648452e-05
50,1.7711227e-05
51,1.8416642e-05
52,1.6360196e-05
53,1.700759e-05
54,1.7825183e-05
55,1.8914912e-05
56,1.8845549e-05
57,2.0783262e-05
58,2.0654874e-05
59,2.205645e-05
60,2.1572141e-05
61,2.1795724e-05
62,2.3255117e-05
63,2.2230011e-05
64,2.0750524e-05
65,2.0595717e-05
66,1.8700448e-05
67,1.8914174e-05
68,1.9654939e-05
69,1.8497738e-05
70,1.9906804e-05
71,1.9439869e-05
72,2.2269902e-05
73,2.1263315e-05
74,2.2658956e-05
75,2.0643409e-05
76,2.2315338e-05
77,2.1184525e-05
78,2.0004185e-05
79,1.9961013e-05
80,1.9457893e-05
81,1.9974039e-05
82,1.7704462e-05
83,1.6851876e-05
84,1.6971e-05
85,1.5828193e-05
86,1.6289e-05
87,1.5246075e-05
88,1.5589116e-05
89,1.4305995e-05
90,1.281988e-05
91,1.2866603e-05
92,1.0928311e-05
93,1.0162675e-05
94,5.5621076e-06
95,6.5125105e-06
