timestep,heart_rate_roll24h_min,news2_score,temperature_max,level_of_consciousness_carried,respiratory_rate_roll4h_min
0,0.00012606005,8.6661115e-05,4.8631406e-05,5.5599896e-05,3.578804e-05
1,5.76174e-05,3.1997202e-05,2.7446802e-05,4.018991e-05,6.740829e-05
2,4.6136105e-05,4.867623e-05,3.7061644e-05,3.4884557e-05,4.8426864e-05
3,5.6255958e-05,4.377329e-05,4.249446e-05,2.6270503e-05,5.6473436e-05
4,5.9400718e-05,4.373941e-05,2.807113e-05,3.4270917e-05,6.7978486e-05
5,5.7252528e-05,3.8866772e-05,3.6590147e-05,3.9453735e-05,4.169792e-05
6,4.638873e-05,4.272375e-05,3.8234448e-05,4.8834216e-05,4.8065125e-05
7,4.6574263e-05,6.731188e-05,3.661282e-05,2.2333745e-05,4.4520053e-05
8,3.528118e-05,3.6772402e-05,3.5356505e-05,4.5105284e-05,3.8465005e-05
9,2.8683728e-05,4.3791973e-05,4.0184357e-05,3.976259e-05,3.919615e-05
10,3.8926708e-05,3.1677202e-05,4.1815245e-05,4.822406e-05,3.7877864e-05
11,3.5722205e-05,3.7817874e-05,3.8482893e-05,4.8383707e-05,2.8308506e-05
12,3.809234e-05,5.1386338e-05,3.2739295e-05,4.4180157e-05,3.497163e-05
13,4.3287688e-05,3.9566858e-05,3.978809e-05,5.1529645e-05,1.4994515e-05
14,4.742538e-05,4.5955294e-05,4.371535e-05,5.9318634e-05,2.996181e-05
15,5.1886185e-05,5.3025033e-05,5.1907053e-05,5.3439522e-05,2.7995588e-05
16,8.461949e-05,5.2706175e-05,5.291868e-05,2.0374815e-05,1.2989584e-05
17,8.705336e-05,4.7139754e-05,5.2816104e-05,5.4029162e-05,3.199539e-05
18,6.558363e-05,5.9185735e-05,5.2406227e-05,5.1280716e-05,3.55858e-05
19,8.865342e-05,5.0551807e-05,5.5752073e-05,6.0610302e-05,3.4354216e-05
20,8.046767e-05,4.86814e-05,3.8547758e-05,3.714699e-05,3.2160493e-05
21,8.861326e-05,4.226192e-05,5.2788917e-05,2.719284e-05,4.076589e-05
22,8.555499e-05,5.882812e-05,5.2035914e-05,5.4381384e-05,3.3928794e-05
23,9.146868e-05,7.13452e-05,4.8650607e-05,4.524503e-05,3.9856768e-05
24,9.609309e-05,7.778347e-05,4.9498576e-05,3.8359485e-05,3.2299995e-05
25,8.685879e-05,4.72233e-05,4.7880054e-05,5.1905943e-05,3.4539644e-05
26,0.0001159965,3.8085203e-05,4.8719256e-05,4.2862895e-05,4.4103734e-05
27,7.625005e-05,5.113551e-05,5.4440647e-05,5.907321e-05,4.7075144e-05
28,8.917074e-05,6.25566e-05,5.2747742e-05,5.9650636e-05,4.2103882e-05
29,0.00010997066,4.506269e-05,4.5302568e-05,3.310184e-05,3.937611e-05
30,0.0001048677,6.319116e-05,5.665887e-05,5.0312665e-05,5.042933e-05
31,9.1487855e-05,3.4901852e-05,4.9300237e-05,5.28236e-05,4.3128905e-05
32,9.317138e-05,5.1995936e-05,5.2378e-05,5.4877386e-05,4.5478442e-05
33,8.21229e-05,6.917762e-05,4.8440284e-05,4.1503336e-05,3.3700995e-05
34,6.579861e-05,6.3619394e-05,4.5748777e-05,5.7226527e-05,4.113002e-05
35,7.566065e-05,6.891103e-05,5.0509017e-05,3.8396996e-05,2.2925027e-05
36,0.00010171252,4.8842274e-05,5.2571213e-05,5.5234796e-05,2.3212346e-05
37,9.010765e-05,5.3145435e-05,4.4720528e-05,4.508649e-05,2.284778e-05
38,8.0097416e-05,6.009454e-05,4.874587e-05,4.2679414e-05,2.8135388e-05
39,8.045661e-05,4.521365e-05,3.5823778e-05,5.1282976e-05,2.0129595e-05
40,0.00010564142,3.968306e-05,4.3054708e-05,2.8844717e-05,1.5686981e-05
41,8.628468e-05,5.5814176e-05,5.4673805e-05,5.8811584e-05,3.7949078e-05
42,7.501992e-05,6.904364e-05,4.8163587e-05,4.713803e-05,2.9127728e-05
43,7.891592e-05,3.6608497e-05,4.780486e-05,4.6841335e-05,2.1463473e-05
44,5.6297475e-05,6.386782e-05,5.3514934e-05,5.0718398e-05,7.651273e-05
45,6.1172024e-05,2.058654e-05,4.983488e-05,6.6039785e-05,7.20537e-05
46,6.115407e-05,8.072003e-05,4.5381796e-05,2.8714308e-05,6.40794e-05
47,8.544163e-05,3.9071063e-05,4.9188635e-05,8.043125e-05,7.241686e-05
48,7.451575e-05,4.1721996e-05,4.267863e-05,3.5101908e-05,2.251272e-05
49,8.7204884e-05,5.980691e-05,5.4873755e-05,5.151784e-05,3.133957e-05
50,7.1418035e-05,1.842724e-05,4.7929327e-05,5.638022e-05,2.2266415e-05
51,7.969203e-05,6.3762534e-05,5.232111e-05,2.248808e-05,2.6413423e-05
52,5.466993e-05,1.44389305e-05,5.693802e-05,5.2835905e-05,2.0272326e-05
53,7.287097e-05,4.7776473e-05,3.4755343e-05,6.045367e-05,2.5107815e-05
54,7.0105176e-05,4.3759872e-05,4.5350906e-05,7.021684e-05,2.8310777e-05
55,9.6937954e-05,8.0264865e-05,5.0296647e-05,5.8270518e-05,3.4506887e-05
56,0.00010090762,2.7993792e-05,5.1566152e-05,6.0884802e-05,3.434505e-05
57,6.948075e-05,6.145033e-05,5.0638915e-05,1.5336076e-05,3.931178e-05
58,0.000120165656,1.603203e-05,4.2609914e-05,6.3802385e-05,3.691474e-05
59,0.00013211143,5.3949407e-05,6.0566897e-05,1.7239856e-05,4.2421285e-05
60,0.00014794996,6.574616e-05,6.715884e-05,6.203596e-05,3.205481e-05
61,0.00013777318,6.701263e-05,4.7849982e-05,4.8767262e-05,3.0017884e-05
62,0.00014012393,7.497445e-05,5.6945773e-05,6.732073e-05,5.3230928e-05
63,0.00016108481,5.8304628e-05,3.5375062e-05,3.0208646e-05,3.4311888e-05
64,0.00013525179,2.24681e-05,5.663476e-05,5.539259e-05,4.5529825e-05
65,9.5279116e-05,6.6160035e-05,5.664021e-05,6.47852e-05,6.286221e-05
66,7.047284e-05,7.147972e-05,7.08552e-05,5.2053583e-05,6.679499e-05
67,6.349937e-05,5.417761e-05,5.1547187e-05,4.50477e-05,7.3431176e-05
68,5.5658315e-05,2.3306848e-05,5.0520364e-05,3.5601137e-05,5.5593053e-05
69,5.021576e-05,4.3817116e-05,4.655588e-05,4.3924123e-05,4.9794493e-05
70,7.949475e-05,3.4441375e-05,4.4887074e-05,5.9007154e-05,4.640435e-05
71,4.8157588e-05,6.994228e-05,5.5171895e-05,4.8336868e-05,5.3529602e-05
72,9.962897e-05,3.591939e-05,4.9660353e-05,1.7893368e-05,7.7446966e-05
73,0.000113835835,7.5056814e-05,5.990772e-05,5.2165786e-05,0.000121380624
74,0.0001357737,8.03361e-05,5.854522e-05,5.967919e-05,9.2916394e-05
75,9.7575146e-05,5.8238435e-05,4.919739e-05,6.588316e-05,7.743089e-05
76,0.00013158945,7.123609e-05,6.851828e-05,3.7284903e-05,8.9999994e-05
77,9.735983e-05,3.9916587e-05,6.646264e-05,2.3506285e-05,0.0001166109
78,0.00011087825,9.920036e-05,5.2089756e-05,5.6320834e-05,5.4089953e-05
79,6.6731875e-05,7.151731e-05,5.2301366e-05,5.945208e-05,5.33538e-05
80,8.913856e-05,7.255811e-05,6.045363e-05,5.3471e-05,5.064986e-05
81,7.133691e-05,5.826296e-05,6.847225e-05,5.1894418e-05,3.9724073e-05
82,6.739814e-05,3.8118145e-05,5.9938175e-05,3.419105e-05,4.5747915e-05
83,5.463555e-05,5.9990918e-05,5.611063e-05,5.17264e-05,6.6476365e-05
84,6.536582e-05,3.8685906e-05,4.3602377e-05,4.1894888e-05,6.137971e-05
85,5.3434964e-05,4.1909214e-05,3.7307094e-05,4.8995924e-05,6.830162e-05
86,4.8213868e-05,3.1911688e-05,5.355343e-05,2.3948463e-05,5.1354597e-05
87,4.6387642e-05,7.303062e-05,4.007372e-05,4.4357017e-05,4.9293445e-05
88,5.045721e-05,3.243768e-05,3.9574883e-05,4.5127774e-05,6.0565555e-05
89,4.533639e-05,2.6239637e-05,4.1271083e-05,5.139059e-05,6.868888e-05
90,4.222678e-05,4.1458476e-05,3.7169902e-05,4.0791183e-05,2.3716515e-05
91,4.1268595e-05,3.9503924e-05,4.0721065e-05,3.1814874e-05,2.3384142e-05
92,4.4660374e-05,1.1786639e-05,4.225969e-05,4.959957e-05,2.2741273e-05
93,1.9457362e-05,4.1574884e-05,2.6170323e-05,4.303584e-05,1.5864161e-05
