timestep,mean_abs_saliency
0,7.4601994e-05
1,4.067682e-05
2,3.1599786e-05
3,2.9441058e-05
4,2.3899014e-05
5,2.433103e-05
6,2.1440546e-05
7,2.0206733e-05
8,1.9559187e-05
9,1.9935087e-05
10,2.0139823e-05
11,2.0263564e-05
12,2.286998e-05
13,2.4881037e-05
14,2.5036135e-05
15,2.5111796e-05
16,2.5728725e-05
17,2.536823e-05
18,2.5266689e-05
19,2.712676e-05
20,2.5881911e-05
21,2.6026368e-05
22,2.4947134e-05
23,2.6720356e-05
24,2.5427975e-05
25,2.5332633e-05
26,2.3404233e-05
27,2.378762e-05
28,2.5211788e-05
29,2.5376157e-05
30,2.4558189e-05
31,2.618464e-05
32,2.5252903e-05
33,2.3499912e-05
34,2.5083522e-05
35,2.3779763e-05
36,2.4532328e-05
37,2.3603074e-05
38,2.5844585e-05
39,2.5403999e-05
40,2.6082473e-05
41,2.5122185e-05
42,2.501415e-05
43,2.591254e-05
44,2.4042127e-05
45,2.1819835e-05
46,2.1526275e-05
47,2.1181055e-05
48,2.12589e-05
49,2.3554629e-05
50,2.6574893e-05
51,2.7383106e-05
52,2.5577829e-05
53,2.6265083e-05
54,2.5832142e-05
55,2.8681967e-05
56,2.9673005e-05
57,3.2855252e-05
58,3.2932414e-05
59,3.6262314e-05
60,3.4131524e-05
61,3.589921e-05
62,4.0302166e-05
63,3.6902293e-05
64,3.7328595e-05
65,3.6399535e-05
66,3.3957655e-05
67,3.3015207e-05
68,3.2240037e-05
69,3.1287607e-05
70,3.221908e-05
71,3.422602e-05
72,3.403258e-05
73,3.3582528e-05
74,3.55811e-05
75,3.385124e-05
76,3.469033e-05
77,3.4282435e-05
78,3.0838484e-05
79,3.183839e-05
80,2.9174858e-05
81,3.0104055e-05
82,2.5517358e-05
83,2.3404902e-05
84,2.1858084e-05
85,2.1284597e-05
86,2.3804225e-05
87,2.1875408e-05
88,2.20942e-05
89,1.9829225e-05
90,1.8938616e-05
91,1.7489605e-05
92,1.3044482e-05
93,1.1440977e-05
94,6.256951e-06
95,6.2583786e-06
