timestep,heart_rate_roll24h_min,news2_score,heart_rate_missing_pct,risk_numeric,heart_rate_roll24h_mean
0,0.000275693,0.0002101797,0.00019472925,0.00018903776,0.0002002424
1,6.987244e-05,5.2513016e-05,0.000102196034,7.665842e-05,4.3806198e-05
2,8.707399e-05,9.676912e-05,7.9277044e-05,5.9929494e-05,4.6101904e-05
3,0.000107711014,6.233261e-05,8.6354165e-05,5.674487e-05,5.272473e-05
4,5.7137408e-05,7.578513e-05,6.2799685e-05,3.981776e-05,2.657166e-05
5,4.8642094e-05,5.87123e-05,4.734894e-05,3.885588e-05,4.8489776e-05
6,5.0307983e-05,6.7241235e-05,4.075786e-05,7.054022e-05,5.58588e-05
7,2.4624947e-05,8.61948e-05,3.8867784e-05,4.800701e-05,4.7830745e-05
8,2.067329e-05,7.838303e-05,3.293259e-05,4.5379875e-05,5.4487627e-05
9,2.260175e-05,7.8185956e-05,4.5293687e-05,2.6297126e-05,4.8610902e-05
10,1.3632287e-05,6.1989354e-05,4.409294e-05,4.3765074e-05,6.260067e-05
11,1.4206336e-05,6.0819228e-05,3.5048044e-05,2.8064029e-05,6.233375e-05
12,2.9818799e-05,7.804632e-05,3.577121e-05,5.379893e-05,6.815761e-05
13,3.71927e-05,6.380755e-05,5.597226e-05,5.4178254e-05,7.119782e-05
14,4.386715e-05,6.711121e-05,8.9401656e-05,4.4198405e-05,7.180148e-05
15,6.9389724e-05,0.000100354584,7.67231e-05,6.4333624e-05,7.480118e-05
16,0.00010721066,0.000102086036,6.653918e-05,0.00010888681,3.9771276e-05
17,0.00010685481,8.882638e-05,8.040001e-05,7.2194045e-05,4.1353767e-05
18,0.00011204624,9.9208024e-05,6.305394e-05,5.6196568e-05,3.1313382e-05
19,0.000103326005,7.1668626e-05,5.5524837e-05,5.8999092e-05,4.26495e-05
20,9.623964e-05,6.3733336e-05,5.3204665e-05,7.732062e-05,3.587714e-05
21,0.00012142296,6.9817295e-05,7.881617e-05,6.193786e-05,4.285917e-05
22,9.2007765e-05,8.266948e-05,6.313781e-05,6.831873e-05,3.2362506e-05
23,0.00012988874,0.00011886251,8.232504e-05,6.432466e-05,3.624695e-05
24,7.3345516e-05,0.00011598629,6.1165585e-05,7.245161e-05,4.8507478e-05
25,0.00013670881,8.123631e-05,6.8846944e-05,7.3118434e-05,5.9298705e-05
26,0.00011569252,4.909242e-05,6.7949964e-05,6.780891e-05,5.1399365e-05
27,9.509168e-05,7.222567e-05,7.4208685e-05,6.542159e-05,3.3951725e-05
28,7.886354e-05,7.5507596e-05,7.942387e-05,7.16074e-05,4.700083e-05
29,7.269683e-05,7.486484e-05,6.421591e-05,8.8220775e-05,4.43425e-05
30,9.892389e-05,9.613872e-05,8.14893e-05,6.842356e-05,4.5744084e-05
31,8.508713e-05,6.172252e-05,8.2898485e-05,8.522081e-05,3.8749928e-05
32,7.290936e-05,8.5471554e-05,9.0786205e-05,5.0705603e-05,3.8305305e-05
33,9.2798706e-05,7.9034995e-05,9.187824e-05,8.228731e-05,3.4085802e-05
34,5.535561e-05,8.9121975e-05,9.6489806e-05,5.665311e-05,3.825784e-05
35,0.00010849112,0.000111213565,6.2826985e-05,9.83874e-05,4.3802764e-05
36,0.00011831505,7.786173e-05,7.472447e-05,6.084864e-05,4.651676e-05
37,9.662814e-05,7.2275325e-05,5.84562e-05,7.5733995e-05,4.4750563e-05
38,0.000103623206,8.6334e-05,8.803153e-05,7.705394e-05,3.9069004e-05
39,9.359597e-05,7.421998e-05,6.9256326e-05,8.619556e-05,3.9293293e-05
40,9.002059e-05,6.201823e-05,6.976693e-05,6.8524394e-05,4.5487992e-05
41,0.00010843822,9.308383e-05,6.957448e-05,7.848358e-05,5.269513e-05
42,7.407706e-05,0.00010402925,8.314813e-05,6.971103e-05,5.291401e-05
43,8.149661e-05,5.5797187e-05,8.494398e-05,7.5530836e-05,3.898559e-05
44,6.6779525e-05,9.7807e-05,4.8438033e-05,6.963865e-05,3.948912e-05
45,7.3968156e-05,2.2117847e-05,7.127494e-05,6.4494874e-05,5.614031e-05
46,5.8664395e-05,0.00012372217,6.885546e-05,4.9978702e-05,3.884963e-05
47,6.4336506e-05,5.077634e-05,5.942153e-05,6.416806e-05,4.3439904e-05
48,3.083189e-05,5.997171e-05,5.845114e-05,5.573771e-05,3.9636445e-05
49,5.4243344e-05,7.4218275e-05,7.661571e-05,6.687987e-05,3.0994568e-05
50,6.2690255e-05,2.33306e-05,5.6211105e-05,8.055685e-05,5.0753115e-05
51,7.941158e-05,9.995567e-05,6.0794388e-05,0.0001013348,5.3991203e-05
52,5.906252e-05,1.975175e-05,8.381992e-05,9.876826e-05,6.5022694e-05
53,8.6492655e-05,8.9281486e-05,8.902697e-05,6.496089e-05,6.8143556e-05
54,9.229824e-05,7.592011e-05,7.216006e-05,8.3156825e-05,8.5521715e-05
55,9.77444e-05,0.00010708829,7.123175e-05,8.848515e-05,8.647436e-05
56,0.00012744409,4.2152416e-05,7.569248e-05,0.00010195704,0.00010441585
57,0.00013744348,0.00010010995,8.870029e-05,7.531119e-05,9.267652e-05
58,0.00016885049,3.934466e-05,7.1992916e-05,9.723274e-05,0.000105597115
59,0.00015843973,8.979537e-05,9.335885e-05,7.600165e-05,0.00013625165
60,0.0001763784,9.06176e-05,0.0001015249,9.789356e-05,0.00012917955
61,0.00014493972,0.00011298165,9.041118e-05,9.703102e-05,0.00012740013
62,0.00018398797,0.00012544887,0.00010330445,0.00010912517,0.00012701731
63,0.00018180851,0.00011027297,0.00010685439,9.1808164e-05,0.00014226914
64,0.00014070787,4.2937005e-05,0.000109171524,9.141431e-05,0.00012520075
65,0.00013709316,0.00012426895,0.00012383894,0.00012243794,0.00014014731
66,0.00010701276,0.0001596544,0.00010416914,0.00010973173,0.00010814772
67,7.981978e-05,0.000113498965,8.970785e-05,8.4619314e-05,9.803369e-05
68,8.682719e-05,4.5643774e-05,8.687539e-05,0.00011437863,0.00013900445
69,5.6987046e-05,9.246981e-05,8.772234e-05,7.290141e-05,6.743348e-05
70,0.000105878775,5.9876922e-05,9.953305e-05,0.000107091335,0.00013136082
71,8.772196e-05,0.00012973398,9.235712e-05,0.000108552216,0.00012991983
72,0.00013619864,6.847213e-05,5.9269983e-05,8.705666e-05,0.00015100838
73,0.00014350438,0.00013658784,0.00010007091,9.603617e-05,0.00016011295
74,0.00015748409,0.00014999397,7.974721e-05,9.620248e-05,0.00013727772
75,0.00014582563,0.00010866582,9.244578e-05,9.799343e-05,0.000117464944
76,0.00013849106,0.00011558648,8.409625e-05,0.00012563494,0.00012988278
77,0.000120126526,0.00011023319,8.752509e-05,9.365919e-05,0.00011308747
78,0.00011522133,0.00014886045,0.000105047824,0.00014089182,9.0556416e-05
79,7.070036e-05,0.00010471765,8.222754e-05,0.00012177559,9.837326e-05
80,9.3842325e-05,0.000100155194,7.834185e-05,0.00011268188,0.00010976161
81,8.6524444e-05,9.4757e-05,6.22095e-05,5.7093646e-05,0.00011626154
82,5.4228283e-05,6.6597444e-05,8.123936e-05,7.5767675e-05,8.415561e-05
83,5.1937648e-05,7.329954e-05,6.74994e-05,5.448534e-05,8.203789e-05
84,5.204107e-05,6.326978e-05,7.125338e-05,6.812183e-05,9.0200316e-05
85,4.838392e-05,7.617254e-05,6.891175e-05,4.3597654e-05,6.7259556e-05
86,4.7853355e-05,5.9583177e-05,9.161232e-05,8.019224e-05,0.000109182416
87,4.3106746e-05,0.0001144713,8.5028034e-05,6.150427e-05,6.675269e-05
88,4.850202e-05,4.034212e-05,7.195979e-05,6.624938e-05,8.395251e-05
89,3.3402815e-05,4.470319e-05,6.229567e-05,3.718554e-05,5.5983408e-05
90,5.3407e-05,8.649919e-05,7.115269e-05,5.6225745e-05,5.681246e-05
91,2.6494268e-05,5.8923415e-05,4.6316094e-05,4.195886e-05,6.57743e-05
92,2.7468208e-05,1.3305571e-05,5.0760817e-05,3.258276e-05,5.125408e-05
93,1.4014673e-05,3.9762686e-05,4.2581876e-05,2.7806242e-05,3.685595e-05
94,5.5279847e-06,1.5295536e-05,1.8416049e-05,1.6927881e-05,1.5194675e-05
95,3.16317e-06,1.3477266e-05,1.8420484e-05,1.3192838e-05,1.464147e-05
