feature,mean_abs_saliency,std_abs_saliency
systolic_bp_roll24h_min,1.9801631e-05,4.5550474e-05
level_of_consciousness,1.931837e-05,4.321851e-05
respiratory_rate_missing_pct,1.7569258e-05,4.0910327e-05
heart_rate,1.6811911e-05,4.1125695e-05
systolic_bp,1.6312968e-05,3.6732465e-05
systolic_bp_roll24h_max,1.5877613e-05,4.029354e-05
heart_rate_roll1h_min,1.5711876e-05,4.1731706e-05
systolic_bp_roll4h_auc,1.545246e-05,3.7837584e-05
spo2_min,1.5263508e-05,3.295398e-05
systolic_bp_missing_pct,1.520555e-05,3.4639586e-05
respiratory_rate_roll1h_auc,1.45050035e-05,3.6468035e-05
systolic_bp_roll4h_mean,1.3639787e-05,3.3690605e-05
temperature_roll4h_slope,1.3547922e-05,4.715438e-05
consciousness_label,1.3449955e-05,3.0573134e-05
co2_retainer_time_since_last_obs,1.2828166e-05,2.8748089e-05
heart_rate_roll24h_min,1.2759211e-05,4.0253402e-05
heart_rate_roll4h_max,1.2744893e-05,3.1247284e-05
risk_numeric,1.2727604e-05,2.8864955e-05
heart_rate_mean,1.2613021e-05,3.186485e-05
heart_rate_roll4h_min,1.24210865e-05,3.291892e-05
heart_rate_roll24h_mean,1.2413546e-05,2.9841625e-05
spo2_roll1h_max,1.2398216e-05,3.3304674e-05
spo2_roll24h_auc,1.2365032e-05,3.8005215e-05
systolic_bp_roll24h_mean,1.2361203e-05,2.9738747e-05
level_of_consciousness_carried,1.2228185e-05,2.9040053e-05
systolic_bp_roll4h_max,1.2209473e-05,3.0257814e-05
spo2_missing_pct,1.2185741e-05,2.8598872e-05
systolic_bp_roll1h_max,1.1700217e-05,2.9277484e-05
temperature_roll1h_auc,1.1638745e-05,2.7708405e-05
level_of_consciousness_max,1.1485595e-05,2.4903597e-05
systolic_bp_roll24h_auc,1.1397621e-05,2.686851e-05
respiratory_rate_roll4h_auc,1.1242947e-05,3.501197e-05
heart_rate_roll1h_mean,1.12348225e-05,2.7153112e-05
heart_rate_roll4h_mean,1.1210685e-05,2.9323352e-05
heart_rate_missing_pct,1.1110942e-05,2.5918662e-05
temperature_roll24h_auc,1.1103976e-05,3.1764623e-05
systolic_bp_roll1h_mean,1.09652965e-05,2.7930691e-05
heart_rate_roll1h_max,1.0924227e-05,3.111356e-05
systolic_bp_roll1h_min,1.0800386e-05,2.4934385e-05
spo2_roll24h_mean,1.0732829e-05,4.397468e-05
level_of_consciousness_time_since_last_obs,1.064542e-05,2.6893065e-05
heart_rate_roll1h_auc,1.0634001e-05,2.739702e-05
systolic_bp_roll4h_min,1.0614246e-05,2.6895314e-05
respiratory_rate_roll4h_std,1.0610747e-05,3.351269e-05
respiratory_rate_roll1h_min,1.0585766e-05,2.7569142e-05
respiratory_rate_max,1.0380563e-05,2.4488645e-05
temperature_min,1.0364579e-05,2.4417493e-05
heart_rate_roll24h_std,1.0172154e-05,3.2629145e-05
systolic_bp_min,1.0031138e-05,2.8364788e-05
temperature_max,1.0023421e-05,2.3229506e-05
temperature_missing,9.987472e-06,2.6716749e-05
heart_rate_roll24h_auc,9.981061e-06,2.984528e-05
respiratory_rate_roll4h_mean,9.911735e-06,2.6660504e-05
temperature_time_since_last_obs,9.8021255e-06,2.3815453e-05
heart_rate_roll1h_std,9.740271e-06,3.5331883e-05
level_of_consciousness_missing,9.494284e-06,2.2821196e-05
supplemental_o2_mean,9.479392e-06,2.8101016e-05
respiratory_rate_roll24h_mean,9.464482e-06,2.8723178e-05
systolic_bp_time_since_last_obs,9.404208e-06,2.1789436e-05
respiratory_rate_roll24h_min,9.398506e-06,3.704161e-05
spo2,9.381366e-06,2.5551164e-05
heart_rate_median,9.330193e-06,2.5856298e-05
respiratory_rate_roll24h_auc,9.245049e-06,2.9920637e-05
GCS - Motor Response,9.194922e-06,2.786215e-05
temperature,9.122377e-06,2.3570587e-05
systolic_bp_roll24h_std,9.0639505e-06,2.0557385e-05
respiratory_rate_roll24h_std,9.054042e-06,2.6993004e-05
heart_rate_time_since_last_obs,9.010381e-06,2.1461821e-05
GCS - Verbal Response,8.939619e-06,3.3206397e-05
spo2_roll1h_min,8.872025e-06,2.2864837e-05
spo2_roll4h_auc,8.829322e-06,4.2107888e-05
temperature_roll24h_slope,8.749533e-06,2.5491852e-05
respiratory_rate_mean,8.692029e-06,2.9202141e-05
spo2_roll1h_auc,8.616052e-06,2.1858361e-05
respiratory_rate_time_since_last_obs,8.589322e-06,1.9725912e-05
spo2_roll24h_max,8.545472e-06,2.9892775e-05
spo2_roll4h_max,8.505894e-06,2.9188992e-05
supplemental_o2,8.498604e-06,3.511773e-05
respiratory_rate_min,8.49541e-06,2.358833e-05
systolic_bp_median,8.48116e-06,2.2771403e-05
level_of_consciousness_median,8.403573e-06,2.20395e-05
temperature_roll4h_std,8.380185e-06,2.6279506e-05
supplemental_o2_time_since_last_obs,8.30496e-06,2.0294823e-05
supplemental_o2_max,8.281785e-06,1.8642066e-05
heart_rate_roll24h_max,8.2509105e-06,2.3470453e-05
news2_score,8.235254e-06,2.307696e-05
heart_rate_max,8.163001e-06,2.2915754e-05
spo2_roll1h_std,8.125067e-06,2.9440662e-05
heart_rate_roll4h_std,8.122551e-06,3.4294215e-05
respiratory_rate_roll4h_min,8.006004e-06,2.2546274e-05
heart_rate_roll4h_auc,8.003461e-06,2.4984309e-05
temperature_roll4h_mean,7.986578e-06,2.4069564e-05
temperature_roll24h_std,7.8892135e-06,2.2152752e-05
systolic_bp_missing,7.883989e-06,2.2463144e-05
respiratory_rate_roll1h_std,7.883791e-06,1.9636429e-05
Non Invasive Blood Pressure systolic,7.881692e-06,1.8538747e-05
temperature_carried,7.871573e-06,2.0798463e-05
spo2_roll24h_std,7.865658e-06,2.9511899e-05
systolic_bp_roll1h_auc,7.865166e-06,1.9042269e-05
temperature_roll4h_auc,7.864761e-06,2.9392775e-05
systolic_bp_roll4h_std,7.707555e-06,1.8112667e-05
respiratory_rate_median,7.647939e-06,1.9970572e-05
