timestep,mean_abs_saliency
0,1.9609983e-05
1,1.3006747e-05
2,9.802135e-06
3,9.562283e-06
4,8.569261e-06
5,9.3433555e-06
6,7.4552613e-06
7,8.624655e-06
8,6.9924695e-06
9,7.1028126e-06
10,7.1611835e-06
11,7.5886246e-06
12,8.052634e-06
13,8.087521e-06
14,7.117824e-06
15,7.745384e-06
16,7.478328e-06
17,7.187199e-06
18,7.267983e-06
19,7.5805074e-06
20,7.1715826e-06
21,6.9131797e-06
22,7.3277533e-06
23,7.3562683e-06
24,7.6393335e-06
25,7.5012967e-06
26,6.6875373e-06
27,7.344674e-06
28,7.1781683e-06
29,8.369749e-06
30,7.647007e-06
31,8.526886e-06
32,8.24221e-06
33,8.168209e-06
34,8.245928e-06
35,8.013666e-06
36,7.4188815e-06
37,8.022705e-06
38,8.239575e-06
39,7.867604e-06
40,7.954612e-06
41,7.104014e-06
42,8.121481e-06
43,8.599217e-06
44,8.46251e-06
45,7.4646764e-06
46,7.637269e-06
47,6.9934563e-06
48,6.851763e-06
49,7.605152e-06
50,7.783167e-06
51,8.210623e-06
52,7.057848e-06
53,7.55196e-06
54,7.2947305e-06
55,7.5080475e-06
56,8.142576e-06
57,8.5762e-06
58,7.764937e-06
59,8.319197e-06
60,7.5942685e-06
61,7.915561e-06
62,8.298037e-06
63,8.551021e-06
64,8.186987e-06
65,7.956228e-06
66,8.66075e-06
67,8.35215e-06
68,8.721647e-06
69,8.5361535e-06
70,8.700909e-06
71,9.029159e-06
72,8.9991845e-06
73,7.8530065e-06
74,8.188246e-06
75,8.449536e-06
76,8.374901e-06
77,8.566178e-06
78,7.873323e-06
79,9.153378e-06
80,8.570453e-06
81,8.580843e-06
82,7.921109e-06
83,7.482849e-06
84,8.072808e-06
85,7.5449693e-06
86,7.3707656e-06
87,6.8255217e-06
88,6.840606e-06
89,6.5052755e-06
90,6.0658667e-06
91,6.5324107e-06
92,5.4654884e-06
93,5.0962844e-06
94,3.5726348e-06
95,3.4976642e-06
