timestep,systolic_bp_roll24h_min,level_of_consciousness,respiratory_rate_missing_pct,heart_rate,systolic_bp
0,3.1432293e-05,3.3326578e-05,5.6029712e-05,1.9297117e-05,4.0863415e-05
1,2.0491949e-05,1.1151174e-05,4.523337e-05,1.0777492e-05,2.650381e-05
2,2.0956044e-05,2.5984544e-05,7.391939e-06,8.210642e-06,2.0124227e-05
3,2.8749326e-05,3.579861e-05,5.824932e-06,1.1730604e-05,2.9197223e-05
4,2.4854473e-05,1.7786288e-05,1.3671405e-05,1.66364e-05,1.092453e-05
5,1.924195e-05,1.7476596e-05,2.282616e-05,1.3464789e-05,7.1870872e-06
6,1.9387307e-05,2.070114e-05,1.561948e-05,1.0209116e-05,1.7042745e-05
7,1.2716622e-05,1.9570038e-05,1.537079e-05,2.0801097e-05,2.225471e-05
8,1.72663e-05,1.9478215e-05,1.02200975e-05,1.5350834e-05,1.4530411e-05
9,1.0977831e-05,1.2132408e-05,1.0253634e-05,1.6074187e-05,1.2297363e-05
10,7.9023575e-06,2.3167402e-05,1.2392357e-05,1.6221935e-05,1.2834657e-05
11,1.37745565e-05,2.279223e-05,1.8166867e-05,1.1573225e-05,1.2860872e-05
12,2.6105094e-05,2.2580727e-05,1.6795817e-05,1.5209314e-05,1.0482426e-05
13,1.7932769e-05,2.9593106e-05,1.1778052e-05,1.1488287e-05,1.7895743e-05
14,6.0049892e-06,2.4691042e-05,1.5190412e-05,1.5826425e-05,2.2042605e-05
15,4.5546776e-06,2.7005017e-05,1.4749066e-05,1.6043334e-05,1.888615e-05
16,1.6667178e-05,2.066698e-05,1.5004101e-05,4.2838386e-05,4.9526866e-06
17,1.6708454e-05,2.109617e-05,1.1269424e-05,2.1684395e-05,1.0258687e-05
18,9.2844375e-06,2.5095082e-05,7.3434435e-06,1.5165012e-05,7.123411e-06
19,1.495051e-05,2.329947e-05,6.9907924e-06,1.3047517e-05,2.2676804e-05
20,1.1859839e-05,2.996141e-05,1.7026292e-05,1.6810316e-05,1.5576592e-05
21,1.8455297e-05,2.474486e-05,1.1904817e-05,1.4777285e-05,1.2553535e-05
22,1.587876e-05,2.9286573e-05,1.3829108e-05,1.1247315e-05,1.2610848e-05
23,1.6129425e-05,2.3768178e-05,1.3648686e-05,1.4794364e-05,1.617091e-05
24,2.2640284e-05,2.2077635e-05,1.6118163e-05,1.2824471e-05,1.692872e-05
25,1.3269925e-05,2.7050999e-05,1.8372612e-05,1.3866761e-05,1.6212965e-05
26,1.9883724e-05,1.6095779e-05,2.3092813e-05,6.714938e-06,1.4284164e-05
27,1.6714512e-05,2.5408759e-05,1.856145e-05,8.4084195e-06,1.0052932e-05
28,1.8064926e-05,2.906156e-05,1.2710316e-05,8.921451e-06,1.646491e-05
29,2.4230247e-05,2.9065914e-05,1.8164132e-05,8.528667e-06,1.8888622e-05
30,1.7188395e-05,2.8382248e-05,1.7638284e-05,1.6104728e-05,1.2170345e-05
31,2.2042084e-05,2.4006458e-05,2.189e-05,1.4689021e-05,1.3243009e-05
32,2.3010583e-05,2.537744e-05,2.5382587e-05,7.81708e-06,2.2000155e-05
33,2.1221893e-05,2.6728947e-05,2.6787866e-05,8.575037e-06,2.0059133e-05
34,2.2465072e-05,1.8110331e-05,2.0266463e-05,9.424276e-06,1.259677e-05
35,3.0643478e-05,2.683164e-05,1.6982076e-05,6.076543e-06,2.3062697e-05
36,2.0309244e-05,2.9423294e-05,2.2527382e-05,5.8336977e-06,1.1766748e-05
37,2.2400827e-05,2.4808027e-05,2.5684109e-05,1.09866205e-05,1.8888819e-05
38,2.2653378e-05,2.585268e-05,1.8265277e-05,1.5956804e-05,1.7982251e-05
39,2.3778963e-05,2.9249819e-05,1.9225467e-05,1.4166565e-05,1.6539181e-05
